date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:19	2029/2029	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202023%2019:56:17%20GMT	https://tipp-teufel.de/login	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/login.html	(from )
22:56:19	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2007%20Nov%202023%2019:56:18%20GMT	https://tipp-teufel.de/robots.txt		(from )
22:56:20	10237/10237	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Nov%202023%2010:12:12%20GMT	https://tipp-teufel.de/css/tipp-teufel.css	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/css/tipp-teufel.css	(from https://tipp-teufel.de/login)
22:56:20	232953/232953	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Nov%202023%2010:12:12%20GMT	https://tipp-teufel.de/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/bootstrap/css/bootstrap.min.css	(from https://tipp-teufel.de/login)
22:56:20	89478/89478	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Nov%202023%2010:12:12%20GMT	https://tipp-teufel.de/jquery.min.js	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/jquery.min.js	(from https://tipp-teufel.de/login)
22:56:20	1683/1683	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Nov%202023%2010:12:12%20GMT	https://tipp-teufel.de/js-cookie/js.cookie.min.js	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/js-cookie/js.cookie.min.js	(from https://tipp-teufel.de/login)
22:56:20	80669/80669	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Nov%202023%2010:12:12%20GMT	https://tipp-teufel.de/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/bootstrap/js/bootstrap.bundle.min.js	(from https://tipp-teufel.de/login)
22:56:21	83223/83223	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Nov%202023%2010:12:12%20GMT	https://tipp-teufel.de/messenger/messanger.js	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/messenger/messanger.js	(from https://tipp-teufel.de/login)
22:56:21	738/738	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Nov%202023%2010:12:12%20GMT	https://tipp-teufel.de/modpush.js	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/modpush.js	(from https://tipp-teufel.de/login)
22:56:21	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2007%20Nov%202023%2019:56:20%20GMT	https://cdn.tiny.cloud/1/hcn3a0yvlepdrtind30rp7b0exi6m5ly455i6fk43h7wff7k/tinymce/6/tinymce.min.js	C:/My%20Web%20Sites/dddssss/cdn.tiny.cloud/1/hcn3a0yvlepdrtind30rp7b0exi6m5ly455i6fk43h7wff7k/tinymce/6/tinymce.min.8.delayed	(from https://tipp-teufel.de/login)
22:56:21	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2007%20Nov%202023%2019:56:20%20GMT	https://cdn.tiny.cloud/1/hcn3a0yvlepdrtind30rp7b0exi6m5ly455i6fk43h7wff7k/tinymce/6.7.2-32/tinymce.min.js	C:/My%20Web%20Sites/dddssss/cdn.tiny.cloud/1/hcn3a0yvlepdrtind30rp7b0exi6m5ly455i6fk43h7wff7k/tinymce/6.7.2-32/tinymce.min.js	(from https://tipp-teufel.de/login)
22:56:22	444687/444687	---MCZ	200	added ('OK')	application/javascript	etag:W/%22j/a1UWTbjZ7amO3WSjL777DyNgLuN/DpnyCTHds9kkw=%22	https://cdn.tiny.cloud/1/invalid-origin/tinymce/6.7.2-32/tinymce.min.js	C:/My%20Web%20Sites/dddssss/cdn.tiny.cloud/1/invalid-origin/tinymce/6.7.2-32/tinymce.min.js	(from https://tipp-teufel.de/login)
22:56:22	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2007%20Nov%202023%2019:56:21%20GMT	https://tipp-teufel.de/	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/index.html	(from https://tipp-teufel.de/bootstrap/css/bootstrap.min.css)
22:56:23	990412/990412	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Nov%202023%2010:12:12%20GMT	https://tipp-teufel.de/images/login_bg.jpg	C:/My%20Web%20Sites/dddssss/tipp-teufel.de/images/login_bg.jpg	(from https://tipp-teufel.de/css/tipp-teufel.css)
